UnitID,Institution Name,Total price for in-state students living on campus 2012-13 (DRVIC2012),Total price for out-of-state students living on campus 2012-13 (DRVIC2012),Graduation rate  total cohort (DRVGR2012)
151351,Indiana University-Bloomington,23116,44566,75
171100,Michigan State University,24028,43986,79
147767,Northwestern University,60840,60840,93
204796,Ohio State University-Main Campus,24919,40327,82
214777,Pennsylvania State University-Main Campus,31854,44156,86
243780,Purdue University-Main Campus,23468,42270,69
186380,Rutgers University-New Brunswick,28798,42118,79
145637,University of Illinois at Urbana-Champaign,28564,42706,84
153658,University of Iowa,21832,40054,70
163286,University of Maryland-College Park,23346,41725,82
170976,University of Michigan-Ann Arbor,25848,51976,91
174066,University of Minnesota-Twin Cities,25065,30315,73
181464,University of Nebraska-Lincoln,21700,34450,65
240444,University of Wisconsin-Madison,23762,40012,82
