FY,COUNTY,CODISTSCH,SCHOOLNAME,SCHOOLTYPE,GRADE,ENROLLED,FREEREDUCED,PERCENT,WARNING,CEP
2014-2015,ADAMS,010003001,KENESAW SECONDARY SCHOOL,SECONDARY                     ,07-12,122,28,0.2295,,
2014-2015,ADAMS,010003002,KENESAW ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,146,36,0.2466,,
2014-2015,ADAMS,010018001,HASTINGS SENIOR HIGH SCHOOL,HIGH SCHOOL                   ,09-12,1041,571,0.5485,,
2014-2015,ADAMS,010018002,HASTINGS MIDDLE SCHOOL,MIDDLE SCHOOL                 ,06-08,805,484,0.6012,,
2014-2015,ADAMS,010018003,ALCOTT ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,289,234,0.8097,,
2014-2015,ADAMS,010018004,HAWTHORNE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,316,146,0.462,,
2014-2015,ADAMS,010018005,LINCOLN ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,305,270,0.8852,,
2014-2015,ADAMS,010018006,LONGFELLOW ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,392,214,0.5459,,
2014-2015,ADAMS,010018007,MORTON ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,352,229,0.6506,,
2014-2015,ADAMS,010018008,RAYMOND A WATSON ELEM SCHOOL,ELEMENTARY                    ,PK-05,183,70,0.3825,,
2014-2015,ADAMS,010090001,ADAMS CENTRAL JR-SR HIGH SCH,SECONDARY                     ,07-12,459,86,0.1874,,
2014-2015,ADAMS,010090002,JUNIATA ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,175,41,0.2343,,
2014-2015,ADAMS,010090003,EAST ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,128,14,0.1094,,
2014-2015,ADAMS,010090006,WALLACE ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,128,20,0.1563,,
2014-2015,ADAMS,010123001,SILVER LAKE HIGH SCHOOL,SECONDARY                     ,07-12,86,41,0.4767,,
2014-2015,ADAMS,010123002,SILVER LAKE ELEM SCH-BLADEN,ELEMENTARY                    ,PK-06,134,38,0.2836,,
2014-2015,ADAMS,010701001,CHRIST LUTHERAN ELEMENTARY SCH,ELEMENTARY                    ,K -08,47,,,MASKED DATA,
2014-2015,ADAMS,010702001,ST CECILIA HIGH SCHOOL,HIGH SCHOOL                   ,09-12,135,30,0.2222,,
2014-2015,ADAMS,010702002,ST CECILIA MIDDLE SCHOOL,MIDDLE SCHOOL                 ,06-08,104,25,0.2404,,
2014-2015,ADAMS,010702003,ST MICHAEL ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,224,49,0.2188,,
2014-2015,ADAMS,010705001,ZION LUTHERAN ELEMENTARY SCH,ELEMENTARY                    ,PK-08,67,27,0.403,,
2014-2015,ANTELOPE,020009001,NELIGH-OAKDALE JR/SR HIGH SCH,SECONDARY                     ,07-12,168,79,0.4702,,
2014-2015,ANTELOPE,020009002,ELEM SCHOOL AT NELIGH-OAKDALE,ELEMENTARY                    ,PK-06,229,94,0.4105,,
2014-2015,ANTELOPE,020018001,ELGIN HIGH SCHOOL,SECONDARY                     ,07-12,81,42,0.5185,,
2014-2015,ANTELOPE,020018002,ELGIN ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,119,70,0.5882,,
2014-2015,ANTELOPE,020701001,ST BONIFACE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,51,16,0.3137,,
2014-2015,ANTELOPE,020702001,POPE JOHN XXIII HIGH SCHOOL,SECONDARY                     ,07-12,71,18,0.2535,,
2014-2015,ANTELOPE,022001002,CLEARWATER ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-04,81,38,0.4691,,
2014-2015,ANTELOPE,022001004,ORCHARD ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-04,52,31,0.5962,,
2014-2015,ANTELOPE,022001006,VERDIGRE ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,72,44,0.6111,,
2014-2015,ANTELOPE,022001007,CLEARWATER/ORCHARD MIDDLE SCHOOL,MIDDLE SCHOOL                 ,05-08,80,42,0.525,,
2014-2015,ANTELOPE,022001008,CLEARWATER/ORCHARD HIGH SCHOOL,HIGH SCHOOL                   ,09-12,98,49,0.5,,
2014-2015,ANTELOPE,022001009,VERDIGRE HIGH SCHOOL,HIGH SCHOOL                   ,09-12,55,20,0.3636,,
2014-2015,ANTELOPE,022001010,VERDIGRE MIDDLE SCHOOL,MIDDLE SCHOOL                 ,07-08,27,13,0.4815,,
2014-2015,ARTHUR,030500001,ARTHUR COUNTY HIGH SCHOOL,SECONDARY                     ,07-12,43,,,MASKED DATA,
2014-2015,ARTHUR,030500002,ARTHUR ELEM SCH - LOWER,ELEMENTARY                    ,K -06,64,,,MASKED DATA,
2014-2015,BANNER,040001001,BANNER COUNTY HIGH SCHOOL,SECONDARY                     ,07-12,76,40,0.5263,,
2014-2015,BANNER,040001002,BANNER COUNTY ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,86,51,0.593,,
2014-2015,BLAINE,050071001,HIGH SCHOOL AT DUNNING,SECONDARY                     ,07-12,56,23,0.4107,,
2014-2015,BLAINE,050071002,ELEMENTARY SCHOOL AT HALSEY,ELEMENTARY                    ,K -06,59,28,0.4746,,
2014-2015,BOONE,060001001,BOONE CENTRAL HIGH SCHOOL,HIGH SCHOOL                   ,09-12,203,63,0.3103,,
2014-2015,BOONE,060001002,BOONE CENTRAL ELEM-ALBION,ELEMENTARY                    ,PK-05,212,77,0.3632,,
2014-2015,BOONE,060001004,BOONE CENTRAL MIDDLE SCHOOL,MIDDLE SCHOOL                 ,06-08,117,38,0.3248,,
2014-2015,BOONE,060001006,ABC PRESCHOOL,PREK ONLY                     ,PK-PK,59,,,MASKED DATA,
2014-2015,BOONE,060017001,ST EDWARD HIGH SCHOOL,SECONDARY                     ,07-12,73,25,0.3425,,
2014-2015,BOONE,060017002,ST EDWARD ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,99,52,0.5253,,
2014-2015,BOONE,060075001,RIVERSIDE HIGH SCHOOL,HIGH SCHOOL                   ,09-12,67,27,0.403,,
2014-2015,BOONE,060075002,RIVERSIDE MIDDLE SCHOOL,MIDDLE SCHOOL                 ,06-08,32,18,0.5625,,
