FY,COUNTY,CODISTSCH,SCHOOLNAME,SCHOOLTYPE,GRADE,ENROLLED,FREEREDUCED,PERCENT,WARNING,CEP_Indicator
2015-2016,ADAMS,010003001,KENESAW SECONDARY SCHOOL,SECONDARY                     ,07-12,129,32,0.2481,,NONE
2015-2016,ADAMS,010003002,KENESAW ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,164,51,0.311,,NONE
2015-2016,ADAMS,010018001,HASTINGS SENIOR HIGH SCHOOL,HIGH SCHOOL                   ,09-12,1029,544,0.5287,,NONE
2015-2016,ADAMS,010018002,HASTINGS MIDDLE SCHOOL,MIDDLE SCHOOL                 ,06-08,790,465,0.5886,,NONE
2015-2016,ADAMS,010018003,ALCOTT ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,284,222,0.7817,,NONE
2015-2016,ADAMS,010018004,HAWTHORNE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,302,141,0.4669,,NONE
2015-2016,ADAMS,010018005,LINCOLN ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,306,276,0.902,,NONE
2015-2016,ADAMS,010018006,LONGFELLOW ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,403,214,0.531,,NONE
2015-2016,ADAMS,010018007,MORTON ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,346,227,0.6561,,NONE
2015-2016,ADAMS,010018008,RAYMOND A WATSON ELEM SCHOOL,ELEMENTARY                    ,PK-05,173,70,0.4046,,NONE
2015-2016,ADAMS,010090001,ADAMS CENTRAL JR-SR HIGH SCH,SECONDARY                     ,07-12,462,88,0.1905,,NONE
2015-2016,ADAMS,010090002,JUNIATA ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,171,41,0.2398,,NONE
2015-2016,ADAMS,010090003,EAST ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,137,13,0.0949,,NONE
2015-2016,ADAMS,010090006,WALLACE ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,147,20,0.1361,,NONE
2015-2016,ADAMS,010123001,SILVER LAKE HIGH SCHOOL,SECONDARY                     ,07-12,88,44,0.5,,NONE
2015-2016,ADAMS,010123002,SILVER LAKE ELEM SCH-BLADEN,ELEMENTARY                    ,PK-06,150,55,0.3667,,NONE
2015-2016,ADAMS,010701001,CHRIST LUTHERAN ELEMENTARY SCH,ELEMENTARY                    ,K -08,55,,,MASKED DATA,NONE
2015-2016,ADAMS,010702001,ST CECILIA HIGH SCHOOL,HIGH SCHOOL                   ,09-12,144,29,0.2014,,NONE
2015-2016,ADAMS,010702002,ST CECILIA MIDDLE SCHOOL,MIDDLE SCHOOL                 ,06-08,105,35,0.3333,,NONE
2015-2016,ADAMS,010702003,ST MICHAEL ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,228,40,0.1754,,NONE
2015-2016,ADAMS,010705001,ZION LUTHERAN ELEMENTARY SCH,ELEMENTARY                    ,PK-08,74,28,0.3784,,NONE
2015-2016,ANTELOPE,020009001,NELIGH-OAKDALE JR/SR HIGH SCH,SECONDARY                     ,07-12,180,74,0.4111,,NONE
2015-2016,ANTELOPE,020009002,ELEM SCHOOL AT NELIGH-OAKDALE,ELEMENTARY                    ,PK-06,229,95,0.4148,,NONE
