ID,Cofirm Type,COUNTY,Date
1,Track,Dawes,9/14/91
2,Mortality,Sioux,11/10/91
3,Mortality,Scotts Bluff,4/21/96
4,Mortality,Sioux,5/9/99
5,Mortality,Box Butte,9/29/99
6,Track,Scotts Bluff,11/12/99
7,Track,Howard,2/26/00
8,Track,Scotts Bluff,9/15/00
9,Mortality,Howard,11/20/00
10,Photo,Brown,12/1/01
11,Trail Camera Photo,Brown,6/1/02
12,Captured,Douglas,10/1/03
13,Track,Cherry,1/6/04
14,Mortality,Thomas,4/18/04
15,Track,Dawes,5/12/04
16,Trail Camera Photo,Keya Paha,9/10/04
17,Mortality,Dakota,11/23/04
18,Track,Dawes,1/31/05
19,Track,Brown,2/2/05
20,Photo,Dawes,6/7/05
21,Track,Dawes,7/25/05
22,Track,Dawes,8/28/05
23,Mortality,Sarpy,11/6/05
24,Trail Camera Photo,Sioux,11/22/05
25,Track,Dawes,1/5/06
26,Trail Camera Photo,Sioux,1/11/06
27,Trail Camera Photo,Dawes,2/17/06
28,Trail Camera Photo,Dawes,3/20/06
29,Trail Camera Photo,Scotts Bluff,4/4/06
30,Track,Custer,4/22/06
31,Mortality,Cherry,6/27/06
32,Mortality,Scotts Bluff,10/2/06
33,DNA,Dawes,10/23/06
34,Trail Camera Photo,Dawes,12/6/06
35,Track,Sheridan,12/20/06
36,Mortality,Dawes,2/28/07
37,Trail Camera Photo,Dawes,2/27/07
38,Trail Camera Photo,Dawes,2/27/07
39,Trail Camera Photo,Dawes,2/27/07
40,Trail Camera Photo,Sioux,3/27/07
41,Trail Camera Photo,Sioux,4/18/07
42,Mortality,Dawes,7/10/07
43,Trail Camera Photo,Sioux,7/18/07
44,Track,Dawes,10/10/07
45,Trail Camera Photo,Sioux,9/18/07
46,Trail Camera Photo,Banner,10/31/07
47,Mortality,Scotts Bluff,2/7/08
48,Mortality,Dawes,1/1/02
49,Mortality,Dawes,12/1/06
50,Track,Dawes,4/15/08
51,Trail Camera Photo,Knox,5/11/08
52,Track,Dawes,5/28/08
53,Track,Dawes,7/16/08
54,DNA,Dawes,5/22/08
55,Trail Camera Photo,Dawes,10/22/08
56,Trail Camera Photo,Sioux,9/7/08
57,Trail Camera Photo,Sioux,10/29/08
58,Mortality,Dawes,11/22/08
59,DNA,Sheridan,11/4/08
60,Prey,Dawes,10/12/08
61,Track,Sheridan,12/4/08
62,Track,Dawes,12/6/08
63,Track,Sheridan,12/10/08
64,Track,Dawes,12/11/08
65,Track,Dawes,11/16/08
66,Trail Camera Photo,Dawes,12/20/08
67,Trail Camera Photo,Dawes,12/20/08
68,Photo,Nance,1/12/09
69,Mortality,Scotts Bluff,1/25/09
70,Track,Platte,1/29/09
71,Trail Camera Photo,Sheridan,12/10/08
72,Trail Camera Photo,Sioux,3/2/09
73,Track,Dawes,4/27/09
74,Trail Camera Photo,Dawes,5/9/09
75,Trail Camera Photo,Dawes,5/9/09
76,Trail Camera Photo,Sioux,5/5/09
77,Prey,Dawes,6/23/09
78,DNA,Dawes,4/19/09
79,Track,Dawes,7/30/09
80,Trail Camera Photo,Sheridan,8/5/09
81,Photo,Dawes,8/6/09
82,Photo,Dawes,9/4/09
83,Trail Camera Photo,Sheridan,9/2/09
84,Trail Camera Photo,Sheridan,9/2/09
85,Track,Cherry,9/29/09
86,Prey,Dawes,9/30/09
87,Trail Camera Photo,Sheridan,8/15/09
88,Trail Camera Photo,Sioux,11/1/09
89,Trail Camera Photo,Dawes,11/6/09
90,Prey,Custer,12/17/09
91,Track,Dawson,12/18/09
