ResettledState,Year ,TotalResettledState,RefugeeOrigin,RefugeesResettledState,ResettledCity,RefugeesResettledCity,RefugeesResettledUS
Alabama,CY 2004,82,Bosnia and Herzegovina,1,Mobile,1,56355
Alabama,CY 2002,39,Iran,2,Birmingham,1,30289
Alabama,CY 2002,39,Iran,2,Mobile,1,30289
Alabama,CY 2003,51,Iran,4,Mobile,1,32235
Alabama,CY 2002,39,Sudan,1,Mobile,1,30289
Alabama,CY 2003,51,Ukraine,1,Pelham,1,32235
Alaska,CY 2002,31,Bosnia and Herzegovina,1,Anchorage,1,30289
Alaska,CY 2004,56,Burma,1,Phoenix,1,56355
Arizona,CY 2002,934,Angola,1,Phoenix,1,30289
Arizona,CY 2004,2087,Azerbaijan,3,Tucson,1,56355
Arizona,CY 2003,1070,Belarus,3,Phoenix,1,32235
Arizona,CY 2003,1070,Bosnia and Herzegovina,12,Phoenix,1,32235
Arizona,CY 2002,934,Burundi,13,Tucson,1,30289
Arizona,CY 2003,1070,Congo,4,Tucson,1,32235
Arizona,CY 2004,2087,Cuba,148,Chandler,1,56355
Arizona,CY 2002,934,Cuba,62,Glendale,1,30289
Arizona,CY 2003,1070,Cuba,7,Glendale,1,32235
Arizona,CY 2004,2087,Cuba,148,Glendale,1,56355
Arizona,CY 2002,934,Dem. Rep. Congo,3,Phoenix,1,30289
Arizona,CY 2004,2087,Dem. Rep. Congo,65,Tucson,1,56355
Arizona,CY 2003,1070,Equatorial Guinea,1,Phoenix,1,32235
Arizona,CY 2004,2087,Eritrea,1,Tucson,1,56355
Arizona,CY 2004,2087,Iran,53,Buckeye,1,56355
Arizona,CY 2003,1070,Iran,99,Tempe,1,32235
Arizona,CY 2004,2087,Iran,53,Wickenburg,1,56355
Arizona,CY 2003,1070,Iraq,56,Glendale,1,32235
Arizona,CY 2004,2087,Iraq,5,Phoenix,1,56355
Arizona,CY 2004,2087,Kenya,1,Phoenix,1,56355
Arizona,CY 2003,1070,Lebanon,1,Tucson,1,32235
Arizona,CY 2003,1070,Liberia,152,Chandler,1,32235
Arizona,CY 2003,1070,Russia,6,Scottsdale,1,32235
Arizona,CY 2003,1070,Rwanda,1,Phoenix,1,32235
Arizona,CY 2002,934,Serbia,233,Wickenburg,1,30289
Arizona,CY 2002,934,Somalia,3,Tucson,1,30289
Arizona,CY 2003,1070,Sudan,150,Scottsdale,1,32235
Arizona,CY 2002,934,Syria,1,Glendale,1,30289
Arizona,CY 2003,1070,Tajikistan,1,Glendale,1,32235
Arizona,CY 2002,934,Togo,1,Phoenix,1,30289
Arizona,CY 2004,2087,Togo,1,Phoenix,1,56355
Arizona,CY 2002,934,Ukraine,26,Phoenix,1,30289
Arizona,CY 2003,1070,Vietnam,43,Tucson,1,32235
Arizona,CY 2002,934,Zambia,1,Glendale,1,30289
Arkansas,CY 2003,4,Iran,4,Lowell,1,32235
Arkansas,CY 2004,31,Vietnam,1,Fort Smith,1,56355
California,CY 2004,7332,Afghanistan,101,Claremont,1,56355
California,CY 2004,7332,Afghanistan,101,Elk Grove,1,56355
