Join14,County14,City14,NetTaxableSales14,NebraskaSaleTax14
AdamsAyr,Adams,Ayr,138474,13009.85
AdamsHastings,Adams,Hastings,379406440,20933589.75
AdamsHolstein,Adams,Holstein,1667623,91719.43
AdamsJuniata,Adams,Juniata,4825039,265377.6
AdamsKenesaw,Adams,Kenesaw,3690672,202987.36
AdamsProsser,Adams,Prosser,109958,6047.75
AdamsRoseland,Adams,Roseland,1591596,87537.98
AntelopeBrunswick,Antelope,Brunswick,554164,32300.72
AntelopeClearwater,Antelope,Clearwater,3723707,204804.85
AntelopeElgin,Antelope,Elgin,6606952,363337.54
AntelopeNeligh,Antelope,Neligh,27889810,1533941.31
AntelopeOakdale,Antelope,Oakdale,341376,18775.73
AntelopeOrchard,Antelope,Orchard,4425793,243249.68
AntelopeRoyal,Antelope,Royal,958844,52736.56
ArthurArthur,Arthur,Arthur,1519247,83558.91
BannerHarrisburg,Banner,Harrisburg,230217,12661.97
BlaineBrewster,Blaine,Brewster,115925,6375.92
BlaineDunning,Blaine,Dunning,421413,23177.81
BooneAlbion,Boone,Albion,33893526,1864613.55
BooneCedar Rapids,Boone,Cedar Rapids,2567487,141212.02
BoonePetersburg,Boone,Petersburg,2942798,161854.3
BoonePrimrose,Boone,Primrose,148597,8172.89
BooneSt Edward,Boone,St Edward,17908065,986137.19
Box ButteAlliance,Box Butte,Alliance,93836621,5161141.98
Box ButteHemingford,Box Butte,Hemingford,6997536,384865.2
BoydBristow,Boyd,Bristow,545650,30010.91
BoydButte,Boyd,Butte,1901456,104580.53
BoydLynch,Boyd,Lynch,2860168,157309.56
BoydNaper,Boyd,Naper,494720,27209.71
BoydSpencer,Boyd,Spencer,4823766,265333.66
BrownAinsworth,Brown,Ainsworth,36494630,2007466.96
BrownJohnstown,Brown,Johnstown,219591,12077.52
BrownLong Pine,Brown,Long Pine,1954734,124386.48
BuffaloAmherst,Buffalo,Amherst,1113829,61260.77
BuffaloElm Creek,Buffalo,Elm Creek,9915956,545378.39
BuffaloGibbon,Buffalo,Gibbon,12303925,727807.71
BuffaloKearney,Buffalo,Kearney,724791271,39930487.43
BuffaloMiller,Buffalo,Miller,219226,12057.58
BuffaloPleasanton,Buffalo,Pleasanton,3142394,174292.06
BuffaloRavenna,Buffalo,Ravenna,10978929,605600.84
BuffaloRiverdale,Buffalo,Riverdale,2106034,115832.03
BuffaloShelton,Buffalo,Shelton,4295783,236268.52
BurtCraig,Burt,Craig,186292,10246.07
BurtDecatur,Burt,Decatur,7564773,414919.85
BurtLyons,Burt,Lyons,6862018,377411.68
BurtOakland,Burt,Oakland,12652859,695908.15
BurtTekamah,Burt,Tekamah,18821571,1040010.68
ButlerBellwood,Butler,Bellwood,1792955,98612.97
ButlerBrainard,Butler,Brainard,2629197,144606.08
ButlerBruno,Butler,Bruno,434776,23912.71
ButlerDavid City,Butler,David City,44266004,2438168.18
ButlerDwight,Butler,Dwight,744454,40945.14
ButlerLinwood,Butler,Linwood,347517,19113.56
ButlerRising City,Butler,Rising City,1493856,87745.43
ButlerUlysses,Butler,Ulysses,377185,20745.32
CassAlvo,Cass,Alvo,570083,31354.64
CassAvoca,Cass,Avoca,1309038,71997.25
CassCedar Creek,Cass,Cedar Creek,287711,15824.14
CassEagle,Cass,Eagle,6507604,357918.84
CassElmwood,Cass,Elmwood,4432693,243798.7
CassGreenwood,Cass,Greenwood,6506773,357873.05
CassLouisville,Cass,Louisville,8697227,478348.37
CassMurdock,Cass,Murdock,989976,54448.95
CassMurray,Cass,Murray,2121006,116655.58
CassNehawka,Cass,Nehawka,1721411,94677.82
CassPlattsmouth,Cass,Plattsmouth,58026697,3229280.55
CassSouth Bend,Cass,South Bend,1154579,63501.9
CassUnion,Cass,Union,1456501,80107.79
CassWeeping Water,Cass,Weeping Water,16768204,934668.6
CedarColeridge,Cedar,Coleridge,1314573,72301.79
CedarFordyce,Cedar,Fordyce,4087093,224790.33
CedarHartington,Cedar,Hartington,47065358,2586487.66
CedarLaurel,Cedar,Laurel,9110822,504176.2
CedarRandolph,Cedar,Randolph,6208187,343803.4
CedarSt Helena,Cedar,St Helena,127377,7005.79
CedarWynot,Cedar,Wynot,721939,41574.54
ChaseEnders,Chase,Enders,567547,31215.43
