Citation,Date,Location,Violation
15078429,2012-04-02T07:15:00,North Stadium,Expired Meter
24048318,2012-04-02T07:22:00,Housing,No Valid Permit Displayed
24048320,2012-04-02T07:26:00,14th & W Street,No Valid Permit Displayed
15078430,2012-04-02T07:36:00,Champions Club,Parking in Unauthorized Area
18074937,2012-04-02T07:39:00,Sandoz,Expired Meter
18074938,2012-04-02T07:40:00,Sandoz,Expired Meter
18074939,2012-04-02T07:41:00,Sandoz,Expired Meter
18074940,2012-04-02T07:42:00,Sandoz,Parking in Unauthorized Area
18074941,2012-04-02T07:43:00,Sandoz,Displaying Altered Permit
18074942,2012-04-02T07:45:00,Sandoz,Displaying Altered Permit
18074943,2012-04-02T07:47:00,Sandoz,No Valid Permit Displayed
18074944,2012-04-02T07:49:00,Sandoz,Displaying Altered Permit
18074945,2012-04-02T07:49:00,Sandoz,Parking in Unauthorized Area
18074946,2012-04-02T07:51:00,Sandoz,Parking in Unauthorized Area
18074947,2012-04-02T07:52:00,Sandoz,Parking in Unauthorized Area
18074948,2012-04-02T07:56:00,Abel,Expired Meter
18074949,2012-04-02T07:57:00,Abel,Expired Meter
18074950,2012-04-02T07:59:00,Abel,Expired Meter
22067748,2012-04-02T08:14:00,Dental Patient,Parking in Unauthorized Area
22067749,2012-04-02T08:16:00,Dental Patient,Parking in Unauthorized Area
15078431,2012-04-02T08:19:00,South Stadium,Expired Meter
22067750,2012-04-02T08:25:00,Dental Patient,Parking in Unauthorized Area
22067751,2012-04-02T08:26:00,Dental Patient,Parking in Unauthorized Area
22067752,2012-04-02T08:28:00,Dental Patient,Parking in Unauthorized Area
22067753,2012-04-02T08:29:00,Dental Patient,Parking in Unauthorized Area
15078432,2012-04-02T08:29:00,North Stadium,Displaying Altered Permit
22067754,2012-04-02T08:30:00,Dental Patient,Parking in Unauthorized Area
16085595,2012-04-02T08:33:00,Union,Expired Meter
16085596,2012-04-02T08:34:00,Union,Expired Meter
16085597,2012-04-02T08:35:00,Union,Expired Meter
24048324,2012-04-02T08:39:00,14th & W Street,Expired Meter
