CleanState,APStyle,CleanName,2012Population,2012ViolentCrime,2012Murder,2012ForcibleRape,2012Robbery,2012AggravatedAssault,2012PropertyCrime,2012Burglary,2012LarcenyTheft,2012MotorVehicleTheft,2012Arson,2011Population,2011ViolentCrime,2011Murder,2011Forciblerape,2011Robbery,2011AggravatedAssault,2011PropertyCrime,2011Burglary,2011LarcenyTheft,2011MotorVehicleTheft,2010Population,2010ViolentCrimeTotal,2010Murder,2010ForcibleRape,2010Robbery,2010AggravatedAssault,2010PropertyCrimeTotal,2010Burglary,2010LarcenyTheft,2010MotorVehicleTheft,2009Population,2009ViolentCrimeTotal,2009Murder,2009Rape,2009Robbery,2009AggravatedAssault,2009PropertyCrimeTotal,2009Burglary,2009LarcenyTheft,2009MotorVehicleTheft
Texas,Texas,Abilene,119886,472,3,38,127,304,4393,1037,3185,171,18,119526,428,5,33,120,270,4384,1119,3093,172,117063,578,4,68,112,394,4897,1340,3375,182,116557,658,7,114,137,400,4830,1301,3267,262
Ohio,Ohio,Akron,198390,1759,24,167,577,991,10034,3429,5884,721,103,199256,1779,27,165,718,869,10864,4268,5790,806,199110,1675,23,164,602,886,10947,4262,5933,752,206497,1919,20,190,727,982,10556,3777,5818,961
New Mexico,N.M.,Albuquerque,553684,4151,41,278,1092,2740,29718,6677,20298,2743,86,551961,4207,35,264,998,2910,27976,5985,19168,2823,545852,4291,42,338,940,2971,26372,5465,18134,2773,530636,4082,56,326,1103,2597,29140,6376,19365,3399
Virginia,Va.,Alexandria,145892,243,0,9,138,96,2982,281,2375,326,8,141638,252,1,14,129,108,3181,303,2506,372,139966,272,2,22,125,123,3263,317,2658,288,146145,288,5,12,141,130,3314,347,2630,337
Pennsylvania,Pa.,Allentown,119334,653,15,54,374,210,4603,1248,2987,368,11,118408,647,10,61,339,237,4575,1101,3041,433,118032,732,9,67,460,196,5089,1327,3345,417,107326,749,13,72,474,190,5270,1414,3385,471
Texas,Texas,Amarillo,196576,1278,10,109,278,881,8895,2085,6181,629,54,194708,1223,10,104,235,874,9388,2016,6756,616,190695,1200,10,102,238,850,11091,2594,7849,648,188767,1580,10,99,352,1119,11039,2561,7768,710
New York,N.Y.,Amherst Town,117591,88,0,7,28,53,2261,214,2010,37,3,117610,124,0,7,41,76,2004,221,1736,47,117084,119,2,8,33,76,2066,218,1801,47,110399,129,1,7,46,75,2130,238,1844,48
California,Calif.,Anaheim,344526,1279,15,82,440,742,10070,1605,7025,1440,27,340218,1281,15,105,446,715,8493,1410,5964,1119,336265,1161,7,88,492,574,8473,1594,5869,1010,335970,1184,9,72,504,599,7993,1457,5591,945
Alaska,Alaska,Anchorage,299143,2479,15,303,488,1673,10543,1158,8554,831,97,296955,2388,12,283,465,1628,9455,1080,7750,625,291826,2432,13,264,454,1701,10214,1223,8178,813,283300,2488,14,282,534,1658,10316,1613,7835,868
Michigan,Mich.,Ann Arbor,115008,228,1,36,50,141,2726,714,1898,114,23,113848,261,0,36,59,166,2549,534,1918,97,113934,286,0,44,76,166,2944,525,2290,129,114367,266,1,29,60,176,2943,603,2215,125
